title;artist;top genre;year;bpm;energy;danceability;valence;duration;acousticness;speechiness
THATS WHAT I WANT;Lil Nas X;lgbtq+ hip hop;2021;88;85;74;55;144;1;22
The Motto;Tiësto;big room;2021;118;76;75;46;165;3;4
This Is What You Came For;Calvin Harris;dance pop;2016;124;93;63;47;222;20;3
Toxic;Britney Spears;dance pop;2003;143;84;77;92;199;2;11
Unforgettable;French Montana;hip hop;2017;98;77;73;73;234;3;12
Uptown Funk (feat. Bruno Mars);Mark Ronson;pop soul;2015;115;61;86;93;270;1;8
Waiting For Love;Avicii;edm;2015;128;74;58;61;231;31;5
We Don't Talk Anymore (feat. Selena Gomez);Charlie Puth;pop;2016;100;56;73;35;218;62;13
we fell in love in october;girl in red;alt z;2018;130;37;57;24;184;11;3
Yeah! (feat. Lil Jon & Ludacris);Usher;atl hip hop;2004;105;79;89;58;250;2;11
7 Years;Lukas Graham;danish pop;2016;120;47;77;34;237;29;5
a lot;21 Savage;atl hip hop;2018;146;64;84;27;289;4;9
All The Small Things;blink-182;alternative metal;1999;149;90;43;68;167;1;5
Baby;Justin Bieber;canadian pop;2010;65;86;73;54;214;4;14
Better Now;Post Malone;dfw rap;2018;145;58;68;34;231;33;4
Bruises;Lewis Capaldi;pop;2019;111;31;74;36;220;95;7
Cake By The Ocean;DNCE;dance pop;2016;119;75;77;90;219;15;5
Call Me Maybe;Carly Rae Jepsen;canadian pop;2012;120;58;78;66;193;1;4
Can't Hold Us (feat. Ray Dalton);Macklemore & Ryan Lewis;pop rap;2012;146;92;64;85;258;3;8
Can't Stop;Red Hot Chili Peppers;alternative rock;2002;91;94;62;88;269;2;5
Clocks;Coldplay;permanent wave;2002;131;75;58;26;308;60;3
Congratulations;Post Malone;dfw rap;2016;123;80;63;49;220;22;4
death bed (coffee for your head);Powfu;sad lo-fi;2020;144;43;73;35;173;73;14
Desesperados;Rauw Alejandro;puerto rican pop;2021;90;69;87;51;225;36;8
Don't Start Now;Dua Lipa;dance pop;2020;124;79;79;68;183;1;8
Don't You Worry Child - Radio Edit;Swedish House Mafia;edm;2012;129;84;61;44;213;11;5
Dynamite;BTS;k-pop;2020;114;77;75;74;199;1;10
Enemy (with JID) - from the series Arcane League of Legends;Imagine Dragons;modern rock;2021;77;78;73;56;173;24;27
Feel So Close - Radio Edit;Calvin Harris;dance pop;2012;128;92;71;92;206;0;3
First Class;Jack Harlow;deep underground hip hop;2022;107;58;90;33;174;11;11
Gasolina;Daddy Yankee;latin hip hop;2004;96;80;85;74;193;32;6
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers];Daft Punk;electro;2013;116;81;79;86;248;4;4
Hate It Or Love It;The Game;gangster rap;2005;100;79;80;44;206;14;21
Heartbreak Anniversary;Giveon;r&b;2020;89;47;45;54;198;52;8
Hey Ya!;Outkast;atl hip hop;2003;80;97;73;97;235;10;7
I Gotta Feeling;Black Eyed Peas;dance pop;2009;128;77;74;61;289;9;3
I Like Me Better;Lauv;pop;2018;92;51;75;42;197;53;26
I Want It That Way;Backstreet Boys;boy band;1999;99;69;69;48;213;26;3
INDUSTRY BABY (feat. Jack Harlow);Lil Nas X;lgbtq+ hip hop;2021;150;70;74;89;212;2;6
Just Give Me a Reason (feat. Nate Ruess);P!nk;dance pop;2012;95;55;78;44;243;35;5
Leave The Door Open;Bruno Mars;dance pop;2021;148;62;59;72;242;18;3
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas);Tainy;pop reggaeton;2021;170;70;64;14;207;9;8
Lose You To Love Me;Selena Gomez;pop;2020;103;34;49;10;206;56;4
Love You Like A Love Song;Selena Gomez & The Scene;pop;2011;117;68;86;92;188;8;5
Mask Off;Future;atl hip hop;2017;150;43;83;28;205;1;43
MIDDLE CHILD;J. Cole;conscious hip hop;2019;124;36;84;46;214;15;28
Mood (feat. iann dior);24kGoldn;cali rap;2021;91;72;70;73;141;17;4
Moth To A Flame (with The Weeknd);Swedish House Mafia;edm;2021;120;66;55;11;234;0;4
Ms. Jackson;Outkast;atl hip hop;2000;95;81;84;61;271;14;27
My Universe;Coldplay;permanent wave;2021;105;70;59;44;228;1;4
My Universe;Coldplay;permanent wave;2021;105;71;57;47;226;1;4
No Lie;Sean Paul;dance pop;2018;102;88;74;46;221;5;12
Party In The U.S.A.;Miley Cyrus;pop;2009;96;70;65;47;202;0;4
Rolling in the Deep;Adele;british soul;2011;105;77;73;51;228;14;3
SAD!;XXXTENTACION;emo rap;2018;75;61;74;47;167;26;14
Save Your Tears (with Ariana Grande) (Remix);The Weeknd;canadian contemporary r&b;2021;118;83;65;59;191;2;3
Sex on Fire;Kings of Leon;modern rock;2008;153;91;54;37;203;0;5
Smack That;Akon;dance pop;2006;119;74;94;92;212;32;5
Someone Like You;Adele;british soul;2011;135;32;56;29;285;89;3
Sorry;Justin Bieber;canadian pop;2015;100;76;65;41;201;8;5
Stereo Hearts (feat. Adam Levine);Gym Class Heroes;dance pop;2011;90;80;65;80;211;3;10
Streets;Doja Cat;dance pop;2019;90;46;75;19;227;21;8
Stronger;Kanye West;chicago rap;2007;104;72;62;49;312;1;15
Sugar;Maroon 5;pop;2014;120;79;75;88;235;6;3
thank u next;Ariana Grande;pop;2019;107;65;72;41;207;23;7
The Box;Roddy Ricch;melodic rap;2019;117;59;90;64;197;10;6
The Middle;Jimmy Eat World;alternative metal;2001;162;85;64;90;166;4;5
The Reason;Hoobastank;alternative metal;2003;83;67;47;7;233;1;3
The Way I Are;Timbaland;dance pop;2007;115;81;73;77;179;18;10
TiK ToK;Kesha;dance pop;2010;120;84;76;71;200;10;14
Timber (feat. Ke$ha);Pitbull;dance pop;2012;130;96;58;79;204;3;10
Titanium (feat. Sia);David Guetta;big room;2012;126;79;60;30;245;7;10
Whenever Wherever;Shakira;colombian pop;2001;108;83;79;87;196;24;4
Wow.;Post Malone;dfw rap;2019;100;54;83;39;150;14;21
XO Tour Llif3;Lil Uzi Vert;melodic rap;2017;155;75;73;40;183;0;23
Yes Indeed;Lil Baby;atl hip hop;2018;120;35;96;56;142;4;53
You Right;Doja Cat;dance pop;2021;129;62;83;44;186;2;6
A Thousand Years;Christina Perri;pop;2011;139;41;42;16;285;31;3
About Damn Time;Lizzo;escape room;2022;109;74;84;72;192;10;7
All I Want;Kodaline;irish pop;2013;187;41;19;16;306;17;5
Alright;Kendrick Lamar;conscious hip hop;2015;110;77;80;56;219;7;24
Animals;Maroon 5;pop;2014;190;74;28;33;231;0;9
Bam Bam (feat. Ed Sheeran);Camila Cabello;dance pop;2022;95;70;76;96;206;18;4
Bitch Better Have My Money;Rihanna;barbadian pop;2015;103;73;78;40;219;5;6
Candy Shop;50 Cent;east coast hip hop;2005;125;57;61;76;209;3;47
Chasing Cars;Snow Patrol;irish rock;2006;104;60;56;14;268;20;3
Classic;MKTO;pop;2012;102;79;72;76;175;4;12
Dancing On My Own;Calum Scott;pop;2018;113;17;68;23;260;84;3
Despacito;Luis Fonsi;latin pop;2019;178;80;66;84;229;20;15
Dog Days Are Over;Florence + The Machine;baroque pop;2009;150;81;50;26;253;3;9
Don't Let Me Down;The Chainsmokers;electropop;2016;160;87;53;42;208;16;17
Don't Stop The Music;Rihanna;barbadian pop;2008;123;67;84;54;267;3;6
Dynamite;Taio Cruz;dance pop;2010;120;78;75;82;203;0;9
Electric Love;BØRNS;indie poptimism;2015;120;80;61;52;218;1;5
Going Bad (feat. Drake);Meek Mill;hip hop;2018;86;50;89;54;181;26;9
"Happy - From ""Despicable Me 2""";Pharrell Williams;dance pop;2014;160;82;65;96;233;22;18
Heathens;Twenty One Pilots;modern rock;2016;90;40;73;55;196;8;3
Homecoming;Kanye West;chicago rap;2007;87;75;67;92;203;34;19
I Fall Apart;Post Malone;dfw rap;2016;144;54;56;29;223;7;4
I Feel It Coming;The Weeknd;canadian contemporary r&b;2016;93;82;77;59;269;43;12
If I Ain't Got You;Alicia Keys;neo soul;2003;118;44;61;17;229;60;11
I'm Yours;Jason Mraz;acoustic pop;2008;151;44;70;71;243;56;4
In the Name of Love;Martin Garrix;dutch edm;2016;134;52;50;17;196;11;4
It's My Life;Bon Jovi;glam metal;2000;120;91;55;54;224;3;5
Kings & Queens;Ava Max;pop;2020;130;69;64;46;162;1;4
Kiss Me More (feat. SZA);Doja Cat;dance pop;2021;111;71;76;78;209;26;3
LA NOCHE DE ANOCHE;Bad Bunny;reggaeton;2020;82;62;86;39;203;3;29
Let You Down;NF;hip hop;2017;148;71;66;46;212;31;12
Levels - Radio Edit;Avicii;edm;2011;126;89;58;46;200;5;3
Little Dark Age;MGMT;alternative rock;2018;98;71;71;62;300;1;4
Lose Yourself;Eminem;detroit hip hop;2004;171;74;69;6;322;1;26
Love Me;Lil Wayne;hip hop;2013;125;63;67;50;255;1;3
love nwantiti (ah ah ah);CKay;afro r&b;2019;93;74;73;53;146;37;4
Love Story (Taylor’s Version);Taylor Swift;pop;2021;119;79;63;42;236;14;3
Low (feat. T-Pain);Flo Rida;dance pop;2008;128;61;92;30;231;9;8
Maneater;Nelly Furtado;canadian latin;2006;133;78;80;79;259;3;4
Mercy;Shawn Mendes;canadian pop;2017;148;66;56;36;209;13;8
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance";Maroon 5;pop;2010;128;76;72;62;201;1;5
New Rules;Dua Lipa;dance pop;2017;116;70;76;61;209;0;7
Not Afraid;Eminem;detroit hip hop;2010;115;95;86;67;248;53;26
Otherside;Red Hot Chili Peppers;alternative rock;1999;123;80;46;51;255;0;6
Outside (feat. Ellie Goulding);Calvin Harris;dance pop;2014;128;82;65;42;227;21;4
Poker Face;Lady Gaga;art pop;2008;119;81;85;79;237;12;8
Ransom;Lil Tecca;melodic rap;2019;180;64;75;23;131;2;29
RAPSTAR;Polo G;chicago rap;2021;81;54;79;44;166;41;24
Reckless;Madison Beer;pop;2021;180;43;39;26;203;81;4
Robbery;Juice WRLD;chicago rap;2019;80;69;62;57;240;33;5
Rude;MAGIC!;pop;2014;144;76;77;93;225;4;4
S&M;Rihanna;barbadian pop;2010;128;68;77;84;244;1;4
Say It Right;Nelly Furtado;canadian latin;2006;117;87;87;81;223;5;14
Señorita;Shawn Mendes;canadian pop;2019;117;55;76;75;191;4;3
Silence;Marshmello;brostep;2017;142;76;52;29;181;26;9
Stitches;Shawn Mendes;canadian pop;2015;150;75;75;75;207;2;7
Stolen Dance;Milky Chance;german pop;2013;114;58;88;73;314;43;4
Stuck with U (with Justin Bieber);Ariana Grande;pop;2020;179;45;60;54;228;22;4
Sunshine;OneRepublic;piano rock;2021;140;88;70;77;164;14;3
Teenagers;My Chemical Romance;emo;2006;112;86;46;86;162;5;6
The Next Episode;Dr. Dre;g funk;1999;95;91;92;31;162;3;27
